勝: 真剣[勝]負 先手必[勝] 優[勝]劣敗 連戦連[勝] ;; 0112
年: 生[年]月日 [年]功序列 [年]中無休 豊[年]満作 ;; 2200
理: 整[理]整頓 無[理]難題 [理]路整然 義[理]人情 ;; 1300
反: 二律背[反] [反]面教師 暴力[反]対 連鎖[反]応 ;; 1021
悪: [悪]戦苦闘 [悪]徳商人 [悪]霊退散 勧善懲[悪] 極[悪]非道 ;; 3101
異: [異]口同音 [異]国情緒 大同小[異] 天変地[異] 突然変[異] ;; 2003
同: 異口[同]音 一心[同]体 呉越[同]舟 大[同]小異 付和雷[同] ;; 0131
心: 以[心]伝[心] 一[心]同体 一[心]不乱 疑[心]暗鬼 [心]機一転 ;; 1401
必: 一撃[必]殺 一発[必]中 盛者[必]衰 信賞[必]罰 先手[必]勝 ;; 0050
発: 一念[発]起 一触即[発] 一[発]必中 才気煥[発] 百[発]百中 ;; 0212
起: 一念発[起] [起]死回生 [起]承転結 再[起]不能 七転八[起] ;; 2102
百: 一罰[百]戒 [百]戦錬磨 [百]花繚乱 [百]鬼夜行 [百]発[百]中 ;; 4020
動: 一挙一[動] 挙[動]不審 軽挙妄[動] 自[動]改札 直立不[動] ;; 0203
子: 一[子]相伝 鬼[子]母神 [子]々孫々 獅[子]奮迅 聖人君[子] ;; 1301
乱: 一心不[乱] 快刀[乱]麻 狂喜[乱]舞 波[乱]万丈 百花繚[乱] ;; 0122
方: 一[方]通行 四[方]八[方] 八[方]美人 品行[方]正 行[方]不明 ;; 0411
色: 喜[色]満面 巧言令[色] 才[色]兼備 [色]即是空 十人十[色] ;; 1202
用: 器[用]貧乏 職権濫[用] 他言無[用] 天地無[用] [用]意周到 ;; 1103
明: 公[明]正大 単純[明]快 風光[明]媚 文[明]開化 行方不[明] ;; 0221
五: [五]臓六腑 [五]分[五]分 [五]里霧中 三々[五]々 四捨[五]入 ;; 3030
立: 孤[立]無援 直[立]不動 独[立]独歩 [立]身出世 三権分[立] ;; 1301
