* 三字熟語Flash 使用漢字別一覧

三字熟語Flash(http://www.gamedesign.jp/flash/sanjuku/sanjuku.html)
全1190語。使用漢字1106字。

----

可: 可能性 生半可 不可解 不可欠 不可能
能: 可能性 知能犯 超能力 不可能 放射能
身: 下半身 献身的 護身術 等身大 不死身
部: 下腹部 部外者 倶楽部 後頭部 大部分
重: 紙一重 重要性 重低音 重点的 八重歯
鳥: 閑古鳥 啄木鳥 九官鳥 七面鳥 不死鳥
想: 予想外 理想郷 幻想曲 理想像 無愛想
疑: 疑問符 疑問点 猜疑心 被疑者 容疑者
知: 逆探知 知能犯 知名度 未知数 悪知恵
野: 草野球 野放図 野良猫 野良犬 野暮用
七: 七変化 七五三 七福神 七面鳥 七面倒
警: 警戒心 警察犬 警視庁 警備員 自警団
業: 従業員 卒業生 実業家 接客業 卒業式
論: 結果論 進化論 方法論 目論見 論理的
議: 合議制 参議院 衆議院 代議士 不思議
成: 光合成 集大成 成人病 未完成 未成年
院: 孤児院 参議院 衆議院 修道院 接骨院
着: 腰巾着 接着剤 軟着陸 不時着 無頓着
試: 試運転 試供品 試金石 試験管 試写会
流: 自己流 二刀流 乱気流 流線型 流動的
台: 実験台 展望台 桧舞台 舞台裏 屋台骨
夜: 十五夜 前夜祭 熱帯夜 真夜中 夜光虫
波: 周波数 衝撃波 超音波 波止場 防波堤
中: 準備中 食中毒 地中海 中古車 真夜中
初: 初期化 初心者 初体験 初対面 初任給
対: 初対面 正反対 相対的 対角線 対抗馬
反: 正反対 反抗期 反作用 反体制 反比例
鉄: 地下鉄 鉄条網 鉄砲玉 鉄面皮 無鉄砲
破: 突破口 難破船 破天荒 破魔矢 破廉恥
葉: 合言葉 絵葉書 広葉樹 花言葉 松葉杖 葉緑素
青: 青海原 青写真 青大将 青二才 青海苔 青少年
真: 青写真 猿真似 真骨頂 真実味 真面目 真夜中
始: 後始末 原始人 始球式 始末書 創始者 不始末
教: 異教徒 教科書 教職員 助教授 性教育 宣教師
目: 一目散 多目的 出鱈目 二枚目 真面目 目論見
字: 一文字 頭文字 金字塔 大文字 小文字 十字架
等: 一等地 等身大 不等号 不平等 優等生 劣等感
伝: 遺伝子 自叙伝 伝言板 伝書鳩 伝染病 武勇伝
薬: 医薬品 風邪薬 漢方薬 睡眠薬 特効薬 薬剤師
消: 消極的 消火器 消去法 消費税 消費者 消耗品
百: 嘘八百 百人力 百分率 百貨店 八百長 八百屋
魚: 深海魚 熱帯魚 魚介類 雑魚寝 秋刀魚 半魚人
観: 観覧車 価値観 観光客 客観的 人生観 先入観
記: 記念日 歳時記 記憶力 新記録 風土記 無記名
語: 外国語 外来語 尊敬語 丁寧語 標準語 夢物語
産: 海産物 助産婦 手土産 道産子 副産物 不動産
放: 開放的 再放送 生放送 野放図 放射能 放物線
加: 加害者 加速度 塩加減 手加減 添加物 無添加
